symbol,name,exchange,sector,list_date,mktcap
ACM,AECOM,NYSE,工程建设,,10476256802
FORM,"FormFactor, Inc.",NASDAQ,半导体,,10457198150
SJM,The J. M. Smucker Co.,NYSE,食品,,10456334241
GSAT,"Globalstar, Inc.",NASDAQ,,,10448897249
TXRH,"Texas Roadhouse, Inc.",NASDAQ,零售,,10419350818
AM,Antero Midstream Corp.,NYSE,家庭产品/用品,,10388892874
ENIA,Enel Am茅ricas SA,NYSE,,,10320325247
AES,The AES Corp.,NYSE,电力,,10314588201
UHAL,U-Haul Holding Co.,NASDAQ,运输及出租,,10303891678
BMRN,"BioMarin Pharmaceutical, Inc.",NASDAQ,制药,,10301292452
ZG,"Zillow Group, Inc.",NASDAQ,,,10288120190
CR,Crane Co.,NYSE,多元化制造商,,10276098781
STN,"Stantec, Inc.",NYSE,商业服务,,10259185719
Z,"Zillow Group, Inc.",NASDAQ,媒体内容,,10256048970
KT,KT Corp.,NYSE,,,10208759999
WULF,"TeraWulf, Inc.",NASDAQ,,,10199550749
AABA,"Altaba, Inc.",NASDAQ,,,10198008589
MGM,MGM Resorts International,NYSE,住宿,,10169903900
BEP,Brookfield Renewable Partners LP,NYSE,,,10169510237
DCI,"Donaldson Co., Inc.",NYSE,多元化制造商,,10165015807
WTFC,Wintrust Financial Corp.,NASDAQ,银行,,10152686022
IT,"Gartner, Inc.",NYSE,,,10138005109
RRC,Range Resources Corp.,NYSE,,,10117618705
EHC,Encompass Health Corp.,NYSE,,,10111120837
SNAP,"Snap, Inc.",NYSE,,,10040819811
XP,"XP, Inc.",NASDAQ,,,9997974430
CART,"Maplebear, Inc.",NASDAQ,,,9996271131
VIAV,"Viavi Solutions, Inc.",NASDAQ,,,9989076866
OC,Owens Corning,NYSE,,,9967110765
WTS,"Watts Water Technologies, Inc.",NYSE,,,9953411298
GTLS,"Chart Industries, Inc.",NASDAQ,机械-多元,,9951737071
MOG.B,"Moog, Inc.",NYSE,,,9947904589
UHS,"Universal Health Services, Inc.",NYSE,健康护理服务,,9925264963
DVA,"DaVita, Inc.",NYSE,卫生保健设施,,9892310531
DOCN,"DigitalOcean Holdings, Inc.",NYSE,,,9848877569
JEF,"Jefferies Financial Group, Inc.",NYSE,,,9839327395
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,商业服务,,9820456749
OGE,OGE Energy Corp.,NYSE,,,9819246940
BSY,"Bentley Systems, Inc.",NASDAQ,,,9800933639
LFUS,"Littelfuse, Inc.",NASDAQ,,,9793345786
HMY,Harmony Gold Mining Co. Ltd.,NYSE,采矿,,9787499357
ORI,Old Republic International Corp.,NYSE,保险,,9787334281
BPOP,"Popular, Inc.",NASDAQ,银行,,9746062948
DAR,"Darling Ingredients, Inc.",NYSE,环境控制,,9734862679
VMI,"Valmont Industries, Inc.",NYSE,金属构造/部件,,9724152075
MOG.A,"Moog, Inc.",NYSE,,,9717538641
AUR,"Aurora Innovation, Inc.",NASDAQ,,,9673431435
MOH,"Molina Healthcare, Inc.",NYSE,卫生保健设施,,9662987064
AHR,"American Healthcare REIT, Inc.",NYSE,,,9654907248
CNM,"Core & Main, Inc.",NYSE,,,9640731961
SSB,SouthState Bank Corp.,NASDAQ,,,9637065205
AG,First Majestic Silver Corp.,NYSE,,,9625162252
W,"Wayfair, Inc.",NYSE,,,9619683346
MUSA,"Murphy USA, Inc.",NYSE,,,9616198280
CIG.C,Companhia Energ茅tica de Minas Gerais SA,NYSE,,,9612959532
TMK,Torchmark Corp.,NYSE,保险,,9611884272
AVAV,"AeroVironment, Inc.",NASDAQ,,,9604304415
IAG,IAMGOLD Corp.,NYSE,采矿,,9603536244
ELPC,Companhia Paranaense de Energia,NYSE,,,9600807734
R,"Ryder System, Inc.",NYSE,运输,,9588020580
