symbol,name,exchange,sector,list_date,mktcap
000657.SZ,中钨高新,SZSE,小金属,19961205,
000659.SZ,珠海中富,SZSE,广告包装,19961203,
000661.SZ,长春高新,SZSE,生物制药,19961218,
000663.SZ,永安林业,SZSE,林业,19961206,
000665.SZ,湖北广电,SZSE,影视音像,19961210,
000670.SZ,盈方微,SZSE,元器件,19961217,
000672.SZ,上峰水泥,SZSE,水泥,19961218,
000676.SZ,智度股份,SZSE,互联网,19961224,
000677.SZ,恒天海龙,SZSE,化纤,19961226,
000678.SZ,襄阳轴承,SZSE,汽车配件,19970106,
000679.SZ,大连友谊,SZSE,百货,19970124,
000680.SZ,山推股份,SZSE,工程机械,19970122,
000681.SZ,视觉中国,SZSE,互联网,19970121,
000682.SZ,东方电子,SZSE,电气设备,19970121,
000683.SZ,博源化工,SZSE,化工原料,19970131,
000685.SZ,中山公用,SZSE,水务,19970123,
000686.SZ,东北证券,SZSE,证券,19970227,
000688.SZ,国城矿业,SZSE,铅锌,19970120,
000690.SZ,宝新能源,SZSE,火力发电,19970128,
000692.SZ,惠天热电,SZSE,供气供热,19970227,
000695.SZ,滨海能源,SZSE,化工原料,19970218,
000700.SZ,模塑科技,SZSE,汽车配件,19970228,
000701.SZ,厦门信达,SZSE,商贸代理,19970226,
000702.SZ,正虹科技,SZSE,饲料,19970318,
000703.SZ,恒逸石化,SZSE,化纤,19970328,
000705.SZ,浙江震元,SZSE,医药商业,19970410,
000707.SZ,双环科技,SZSE,化工原料,19970415,
000708.SZ,中信特钢,SZSE,特种钢,19970326,
000709.SZ,河钢股份,SZSE,普钢,19970416,
000710.SZ,贝瑞基因,SZSE,医疗保健,19970422,
000712.SZ,锦龙股份,SZSE,证券,19970415,
000713.SZ,国投丰乐,SZSE,种植业,19970422,
000715.SZ,中兴商业,SZSE,百货,19970508,
000716.SZ,黑芝麻,SZSE,食品,19970418,
000717.SZ,中南股份,SZSE,普钢,19970508,
000718.SZ,苏宁环球,SZSE,区域地产,19970408,
000719.SZ,中原传媒,SZSE,出版业,19970331,
000720.SZ,新能泰山,SZSE,电气设备,19970509,
000721.SZ,西安饮食,SZSE,酒店餐饮,19970430,
000722.SZ,湖南发展,SZSE,水力发电,19970522,
000723.SZ,美锦能源,SZSE,焦炭加工,19970515,
000725.SZ,京东方Ａ,SZSE,元器件,20010112,
000726.SZ,鲁泰Ａ,SZSE,纺织,20001225,
000727.SZ,冠捷科技,SZSE,元器件,19970520,
000728.SZ,国元证券,SZSE,证券,19970616,
000729.SZ,燕京啤酒,SZSE,啤酒,19970716,
000731.SZ,四川美丰,SZSE,农药化肥,19970617,
000733.SZ,振华科技,SZSE,元器件,19970703,
000735.SZ,罗牛山,SZSE,农业综合,19970611,
000737.SZ,北方铜业,SZSE,铜,19970428,
000738.SZ,航发控制,SZSE,航空,19970626,
